season,points_id,player_id,win_points,placement,match_id,location_name,nickname,cum_sum_placement,cum_sum_placement_season
2023/2024,202482310,3,163,1,82,"Xbowling Prosek",Vrbic,227,39
2023/2024,202482410,4,158,2,82,"Xbowling Prosek",Spinda,204,25
2023/2024,202483110,1,113,4,83,"Xbowling Prosek",Pichy,246,39
2023/2024,202483210,2,143,2,83,"Xbowling Prosek",Helcl,145,24
2023/2024,202483310,3,120,3,83,"Xbowling Prosek",Vrbic,230,42
2023/2024,202483410,4,206,1,83,"Xbowling Prosek",Spinda,205,26
2023/2024,202484110,1,165,1,84,"Xbowling Prosek",Pichy,247,40
2023/2024,202484210,2,144,2,84,"Xbowling Prosek",Helcl,147,26
2023/2024,202484310,3,114,4,84,"Xbowling Prosek",Vrbic,234,46
2023/2024,202484410,4,136,3,84,"Xbowling Prosek",Spinda,208,28
2023/2024,202485110,1,128,3,85,"Xbowling Prosek",Pichy,250,43
2023/2024,202485210,2,142,1,85,"Xbowling Prosek",Helcl,148,27
2023/2024,202485310,3,102,4,85,"Xbowling Prosek",Vrbic,238,50
2023/2024,202485410,4,137,2,85,"Xbowling Prosek",Spinda,210,30
2023/2024,202486110,1,137,4,86,"Xbowling Prosek",Pichy,254,47
2023/2024,202486210,2,140,3,86,"Xbowling Prosek",Helcl,151,30
2023/2024,202486310,3,142,2,86,"Xbowling Prosek",Vrbic,240,52
2023/2024,202486410,4,166,1,86,"Xbowling Prosek",Spinda,211,31
2023/2024,202487110,1,130,3,87,"Xbowling Prosek",Pichy,257,50
2023/2024,202487210,2,157,2,87,"Xbowling Prosek",Helcl,153,32
2023/2024,202487310,3,111,4,87,"Xbowling Prosek",Vrbic,244,56
2023/2024,202487410,4,163,1,87,"Xbowling Prosek",Spinda,212,32
2023/2024,202488110,1,120,4,88,"Xbowling Prosek",Pichy,261,54
2023/2024,202488210,2,139,2,88,"Xbowling Prosek",Helcl,155,34
2023/2024,202488310,3,136,3,88,"Xbowling Prosek",Vrbic,247,59
2023/2024,202488410,4,161,1,88,"Xbowling Prosek",Spinda,213,33
2023/2024,202489110,1,139,1,89,"Xbowling Prosek",Pichy,262,55
2023/2024,202489210,2,134,2.5,89,"Xbowling Prosek",Helcl,157.5,36.5
2023/2024,202489310,3,115,4,89,"Xbowling Prosek",Vrbic,251,63
2023/2024,202489410,4,134,2.5,89,"Xbowling Prosek",Spinda,215.5,35.5
2024/2025,202490110,1,148,4,90,"Victoria Bowling",Pichy,265,3
2024/2025,202490210,2,180,1,90,"Victoria Bowling",Helcl,158.5,1
2024/2025,202490310,3,147,3,90,"Victoria Bowling",Vrbic,255,4
2024/2025,202490410,4,172,2,90,"Victoria Bowling",Spinda,217.5,2
2024/2025,202491110,1,175,2,91,"Victoria Bowling",Pichy,267,5
2024/2025,202491210,2,164,3,91,"Victoria Bowling",Helcl,161.5,4
2024/2025,202491310,3,123,4,91,"Victoria Bowling",Vrbic,260,8
2024/2025,202491410,4,188,1,91,"Victoria Bowling",Spinda,218.5,3
2024/2025,202492110,1,121,3,92,"Victoria Bowling",Pichy,270,8
2024/2025,202492210,2,126,2,92,"Victoria Bowling",Helcl,163.5,6
